"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Spin Rate","Spin Axis"
"3h","TaylorMade","Stealth HD","191.7","206.0","123.4","17.4","0.8","95.0","20.7","88.5","1.39","43.6","3892","13.8"
"3h","TaylorMade","Stealth HD","161.7","191.5","116.9","8.1","-13.9","38.8","-41.4","87.4","1.34","26.5","4235","0.0"
"3h","TaylorMade","Stealth HD","200.7","216.0","128.3","15.8","-6.6","98.3","-18.4","92.4","1.39","44.0","4113","4.7"
"3h","TaylorMade","Stealth HD","175.6","185.7","122.9","17.7","-7.3","98.8","3.6","92.4","1.33","47.7","5976","18.7"
"3h","TaylorMade","Stealth HD","165.5","176.1","116.8","16.9","-6.6","82.9","4.0","89.0","1.31","44.2","5868","19.3"
"3h","TaylorMade","Stealth HD","196.1","210.7","126.8","15.1","-6.1","92.9","-17.4","90.7","1.40","43.3","4312","3.9"
"3h","TaylorMade","Stealth HD","184.5","199.4","121.1","16.4","-8.3","84.4","-5.3","97.4","1.24","41.5","4028","17.1"
"3h","TaylorMade","Stealth HD","187.7","212.3","117.6","18.1","8.2","66.9","18.8","97.9","1.20","31.5","1636","-5.7"
"3h","TaylorMade","Stealth HD","116.6","144.4","105.5","5.8","-7.3","21.0","-16.9","90.7","1.16","20.6","9553","-0.2"
"3h","TaylorMade","Stealth HD","187.1","199.3","130.7","11.7","-3.5","79.4","12.8","94.0","1.39","41.9","6000","16.5"
"3h","TaylorMade","Stealth HD","184.6","195.9","131.5","11.3","-1.0","77.3","25.7","94.6","1.39","41.8","6458","19.6"
"3h","TaylorMade","Stealth HD","192.7","213.9","118.9","18.3","-1.9","73.3","-17.6","89.6","1.33","33.8","1991","-8.3"
"3h","TaylorMade","Stealth HD","186.0","199.3","123.7","18.2","-4.1","98.0","18.6","95.3","1.30","45.7","4363","23.0"
"3h","TaylorMade","Stealth HD","195.7","205.8","135.4","18.4","-1.5","128.0","25.2","96.2","1.41","52.2","5785","17.7"
"3h","TaylorMade","Stealth HD","210.1","225.5","135.0","13.3","-12.6","97.2","-48.4","97.9","1.38","43.8","4357","0.4"
"3h","TaylorMade","Stealth HD","202.0","213.7","136.3","13.8","-3.2","103.4","6.9","96.2","1.42","46.7","5509","11.3"
"3h","TaylorMade","Stealth HD","193.4","205.4","131.9","12.4","-7.3","87.2","-8.4","94.0","1.40","43.3","5601","11.1"
"3h","TaylorMade","Stealth HD","105.0","154.2","110.4","2.2","-14.3","10.6","-22.7","94.6","1.17","12.8","10509","9.5"
"3h","TaylorMade","Stealth HD","181.5","194.3","122.9","16.3","-9.5","93.6","-16.4","91.2","1.35","45.4","5172","10.5"
"3h","TaylorMade","Stealth HD","194.3","206.7","131.2","12.4","-10.2","86.6","-25.7","97.4","1.35","42.9","5334","6.8"
"3h","TaylorMade","Stealth HD","195.6","209.6","125.6","17.2","-8.6","99.8","-13.6","94.0","1.34","44.6","4012","11.6"
"3h","TaylorMade","Stealth HD","188.8","200.9","131.0","11.6","-11.3","78.8","-13.2","97.9","1.34","41.3","5682","16.3"
"3h","TaylorMade","Stealth HD","208.6","224.9","128.9","18.3","-5.6","103.0","2.6","98.5","1.31","43.1","3180","16.7"
"3h","TaylorMade","Stealth HD","191.3","209.9","118.2","19.5","-6.2","82.7","-6.8","97.4","1.21","37.7","2366","15.3"
"3h","TaylorMade","Stealth HD","206.3","221.3","127.3","18.6","-7.1","106.0","-13.2","98.5","1.29","44.0","3276","9.7"
"3h","TaylorMade","Stealth HD","161.8","176.1","110.6","17.4","-8.9","69.8","-2.5","95.1","1.16","38.7","3972","22.7"
"3h","TaylorMade","Stealth HD","187.4","201.0","124.8","16.8","-10.0","97.0","-10.2","95.1","1.31","45.5","4710","15.9"
"3h","TaylorMade","Stealth HD","217.1","232.7","137.4","13.2","-13.5","97.8","-59.2","100.1","1.37","43.1","4020","-2.8"
