"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type","Spin Rate","Spin Axis"
"6i",,,"124.0","151.0","104.2","7.0","-6.0","21.7","-8.5","78.5","1.33","19.1","-7.1","-3.8",0,"4349","9.8"
"6i",,,"134.5","152.2","102.8","10.7","-5.9","34.2","-10.3","80.1","1.28","25.8","-5.5","-2.8",0,"4038","7.2"
"6i",,,"131.2","142.3","102.9","15.0","5.1","48.4","34.7","83.5","1.23","35.1","-6.5","-3.7",0,"6005","30.2"
"6i",,,"2.3","96.1","91.4","0.2","-3.6","0.0","-0.2","78.5","1.17","0.2","-3.0","-2.4",0,"1483","49.1"
"6i",,,"138.3","153.1","104.1","12.4","-3.3","43.3","3.0","80.1","1.30","31.0","-7.3","-4.5",0,"4856","14.9"
"6i",,,"79.2","95.9","88.7","10.0","15.7","14.7","33.0","82.4","1.08","17.7","-5.9","-3.9",0,"7589","45.8"
"6i",,,"146.4","162.4","105.5","12.9","-2.9","48.7","-6.9","76.2","1.38","32.5","-6.5","-2.7",0,"4408","3.2"
"6i",,,"147.6","165.1","105.1","13.4","-4.5","48.0","-13.5","74.6","1.41","31.5","-6.6","-3.5",0,"3834","0.6"
"6i",,,"98.8","118.3","98.1","8.9","7.7","17.8","28.0","82.4","1.19","18.0","-4.0","-3.9",0,"5204","39.1"
"6i",,,"106.3","131.5","93.0","11.6","-4.1","21.4","-6.3","75.1","1.24","18.3","-5.7","-4.7",0,"2373","8.5"
"6i",,,"69.0","107.5","99.4","4.8","5.6","6.2","15.7","80.7","1.23","8.9","-5.5","-4.3",0,"7752","48.5"
"6i",,,"169.4","183.9","116.5","13.2","0.1","66.4","4.4","84.0","1.39","38.1","-6.2","-1.4",0,"4660","5.4"
"6i",,,"178.0","194.1","120.2","12.1","-4.0","64.9","-14.6","86.2","1.39","36.5","-4.9","-2.8",0,"4233","0.7"
"6i",,,"168.2","183.8","113.2","16.0","-5.6","74.3","-23.1","82.9","1.37","40.3","-4.7","-4.0",0,"4121","-3.0"
"6i",,,"183.4","198.2","122.6","14.0","-2.1","80.9","-14.1","85.5","1.43","41.6","-5.3","1.1",0,"4525","-2.7"
"6i",,,"184.3","198.2","123.9","15.2","-5.2","89.6","-33.4","86.7","1.43","44.4","-5.4","-1.7",0,"4694","-8.5"
"6i",,,"169.2","182.2","117.4","15.2","1.4","80.2","1.0","88.5","1.33","43.1","-4.6","0.8",0,"5277","-0.2"
"6i",,,"136.4","169.3","113.8","6.3","-6.1","19.4","-19.7","85.1","1.34","15.2","-4.6","1.4",0,"3008","-4.7"
"6i",,,"139.3","166.1","111.1","6.6","-4.3","24.5","-9.3","85.1","1.30","19.6","-5.4","0.4",0,"3947","4.6"
"6i",,,"170.7","184.6","116.4","15.2","-2.1","76.9","-17.7","82.8","1.41","41.5","-1.1","-2.2",0,"4695","-6.2"
"6i",,,"166.8","185.7","119.5","8.9","-4.7","48.7","-23.8","87.4","1.37","31.7","-4.1","-2.7",0,"4919","-5.9"
"6i",,,"163.8","177.3","116.4","12.9","-0.4","65.5","8.3","88.5","1.32","38.9","-5.9","-1.9",0,"5478","9.4"
"6i",,,"170.4","184.2","118.8","12.0","-5.6","64.9","-22.2","86.2","1.38","37.9","-5.9","-3.2",0,"5039","-2.0"
"6i",,,"118.5","151.0","112.9","5.2","-13.1","13.7","-42.8","86.2","1.31","12.6","-3.8","-3.8",0,"3535","-28.4"
"6i",,,"167.1","180.5","116.9","14.1","-4.8","73.6","-18.3","85.4","1.37","41.3","-5.1","-2.4",0,"5344","-1.0"
"6i",,,"180.8","194.0","122.2","14.7","-2.5","85.4","-13.7","88.2","1.39","43.4","-4.6","-0.3",0,"4874","-1.6"
"6i",,,"173.7","186.8","121.4","14.7","-3.9","79.0","-41.2","87.3","1.39","42.7","-2.5","0.5",0,"5090","-18.6"
"6i",,,"175.9","189.0","119.5","16.8","-2.9","91.9","-13.8","86.2","1.39","45.6","-3.7","-1.6",0,"4908","-1.2"
"6i",,,"183.9","198.0","124.7","14.2","-5.1","83.4","-40.8","86.8","1.44","42.9","-3.5","-0.5",0,"4713","-13.7"
"6i",,,"176.5","189.8","121.0","15.3","-4.7","85.0","-33.6","85.7","1.41","43.9","-3.5","0.2",0,"4981","-10.9"
"6i",,,"147.7","165.7","105.1","14.8","-1.4","48.6","-22.0","86.7","1.21","31.0","-2.7","2.7",0,"3282","-18.6"
"6i",,,"171.2","184.1","119.5","13.4","-3.2","74.6","-10.4","88.5","1.35","41.4","-5.0","-0.8",0,"5461","1.5"
"6i",,,"174.7","187.8","121.2","13.8","-2.7","78.9","-20.6","86.2","1.41","42.4","-4.4","1.2",0,"5330","-6.2"
"6i",,,"167.4","180.2","118.0","13.2","-5.0","70.9","-22.8","85.1","1.39","40.6","-4.7","-3.0",0,"5586","-3.8"
"6i",,,"114.5","149.0","112.1","3.8","-4.8","10.4","-7.0","88.5","1.27","10.0","-5.9","-2.1",0,"3389","9.8"
"6i",,,"165.4","180.2","114.6","13.5","-3.0","64.6","-21.7","85.7","1.34","37.8","-5.7","-1.1",0,"4641","-8.1"
"6i",,,"160.9","175.5","110.8","15.6","-4.0","68.2","-26.8","85.7","1.29","39.2","-4.1","-1.5",0,"4305","-10.7"
"6i",,,"168.1","182.9","115.3","13.9","-4.8","67.4","-27.5","85.9","1.34","38.5","-5.2","-0.9",0,"4485","-8.2"
"6i",,,"97.0","110.2","94.6","11.4","11.1","22.6","35.6","85.7","1.10","22.7","-4.4","-5.0",0,"7236","43.1"
"6i",,,"154.6","168.6","109.9","13.5","-5.8","58.6","-13.3","84.6","1.30","36.6","-5.6","-3.4",0,"4943","4.3"
"6i",,,"166.3","180.2","113.3","16.3","-4.1","77.3","-20.2","85.1","1.33","41.9","-4.3","-2.8",0,"4552","-4.3"
"6i",,,"177.5","190.1","121.4","17.1","-5.1","97.8","-20.6","86.2","1.41","47.1","-3.4","-2.3",0,"5115","-1.1"
"6i",,,"177.9","191.2","120.8","14.6","-5.5","82.3","-16.4","85.7","1.41","42.7","-6.2","-5.8",0,"4865","2.5"
"6i",,,"170.3","180.1","121.1","18.0","-0.8","99.8","17.1","88.5","1.37","48.7","-5.9","-6.1",0,"6137","14.8"
"6i",,,"169.0","182.7","117.9","13.0","-5.9","68.6","-13.6","86.2","1.37","39.3","-6.7","-5.0",0,"5132","5.0"
"6i",,,"176.8","188.2","122.6","16.5","-1.5","97.4","-3.2","89.1","1.38","47.3","-4.7","-1.2",0,"5630","2.8"
"6i",,,"180.9","193.9","123.9","15.4","-1.9","93.1","-6.3","87.9","1.41","45.8","-5.2","-0.9",0,"5270","1.8"
"6i",,,"169.6","182.1","118.8","14.3","-2.9","79.0","-8.5","87.9","1.35","43.0","-7.2","-1.1",0,"5711","2.1"
"6i",,,"176.6","188.1","123.0","15.4","-2.0","90.9","6.0","90.6","1.36","45.8","-7.0","-3.7",0,"5678","9.6"
"6i",,,"176.2","188.9","122.4","13.5","-5.5","79.7","-25.4","87.6","1.40","42.7","-6.2","-1.5",0,"5457","-3.6"
"6i",,,"177.8","191.5","120.8","14.9","-4.0","83.8","-22.7","87.4","1.38","43.3","-5.0","-1.8",0,"4886","-4.9"
"6i",,,"178.6","189.8","124.0","15.4","0.3","93.3","8.1","91.5","1.36","46.3","-7.0","-1.8",0,"5704","6.4"
"6i",,,"164.1","179.5","119.4","10.5","-5.9","58.2","-35.9","86.2","1.38","36.6","-5.2","-0.6",0,"5893","-12.4"
"6i",,,"100.2","115.9","96.7","9.8","9.7","21.0","32.7","89.9","1.08","21.2","-6.7","-2.0",0,"6985","37.2"
"6i",,,"172.0","183.6","119.8","15.4","-3.4","86.4","-15.4","86.2","1.39","44.9","-5.1","-3.0",0,"5621","-1.5"
"6i",,,"149.7","160.4","109.6","15.6","1.4","66.4","21.8","87.9","1.25","40.8","-5.1","-2.4",0,"6044","18.1"
"6i",,,"171.0","185.2","116.2","15.6","-2.4","78.9","-2.9","87.9","1.32","42.0","-4.9","-3.3",0,"4651","5.1"
"6i",,,"173.9","186.9","119.1","16.8","-1.0","91.2","2.2","89.6","1.33","45.7","-4.6","-1.0",0,"5067","5.5"
"6i",,,"169.3","182.7","116.4","16.3","-7.1","82.6","-35.0","85.1","1.37","43.7","-3.2","-3.6",0,"4874","-8.2"
"6i",,,"168.8","180.1","119.5","14.5","-1.7","82.1","-1.5","86.8","1.38","44.2","-5.8","-2.0",0,"6221","4.2"
"6i",,,"162.6","174.3","115.1","15.7","-2.9","77.3","5.3","86.2","1.33","43.0","-4.4","-4.5",0,"5586","12.3"
"6i",,,"114.1","141.5","91.2","15.9","-1.4","30.4","-6.3","84.6","1.08","22.9","-1.6","-3.6",0,"1614","-4.6"
"6i",,,"153.7","167.6","113.4","11.0","-5.8","54.3","-11.7","85.7","1.32","35.8","-7.9","-5.0",0,"6391","5.4"
"6i",,,"148.7","160.2","110.2","13.3","-3.3","58.6","5.1","90.2","1.22","37.9","-7.4","-3.6",0,"6427","14.2"
"6i",,,"171.5","184.7","120.6","12.8","-5.9","71.8","-35.1","85.7","1.41","40.7","-5.2","-1.4",0,"5412","-10.2"
"6i",,,"162.4","174.7","113.7","16.7","-1.1","81.5","-8.8","88.5","1.29","44.1","-4.9","-1.0",0,"5388","-2.1"
"6i",,,"157.4","173.3","116.1","8.9","-3.0","45.6","-5.0","87.9","1.32","31.3","-7.5","-1.6",0,"5414","4.9"
"6i",,,"163.2","176.0","118.1","11.8","-1.4","64.4","6.8","90.1","1.31","39.0","-6.5","-1.7",0,"6277","9.9"
"6i",,,"154.8","169.6","116.4","9.3","-2.1","49.5","2.7","87.9","1.32","33.9","-7.9","-3.6",0,"6739","8.9"
"6i",,,"154.6","164.1","113.1","16.0","0.1","76.0","14.7","91.8","1.23","43.8","-5.5","-2.5",0,"6917","13.3"
"6i",,,"154.5","167.4","112.3","12.9","-2.4","60.7","-0.1","87.4","1.29","38.2","-6.5","-2.8",0,"6103","7.4"
"6i",,,"172.4","182.3","121.9","17.0","-0.7","99.6","4.5","89.6","1.36","48.4","-4.5","-3.0",0,"6274","5.9"
"6i",,,"170.1","181.5","118.9","16.5","-1.2","89.9","4.8","87.4","1.36","45.9","-5.1","-2.9",0,"5664","7.5"
"6i",,,"173.5","185.4","122.6","13.6","3.2","82.1","15.1","90.1","1.36","43.9","-6.6","2.5",0,"6208","5.4"
"6i",,,"173.3","183.5","122.9","14.9","0.3","89.4","12.1","92.0","1.34","46.0","-5.7","-1.9",0,"6387","9.0"
"6i",,,"113.2","159.9","114.1","3.1","-1.9","9.7","5.8","90.1","1.27","10.0","-7.7","-3.1",0,"4119","22.8"
"6i",,,"167.0","177.4","117.8","16.4","0.9","88.3","7.4","87.4","1.35","45.9","-4.5","0.2",0,"6032","5.2"
"6i",,,"167.0","178.8","117.7","14.6","-2.7","77.9","-1.7","86.8","1.36","42.9","-4.8","-2.0",0,"5810","6.4"
"6i",,,"164.7","175.7","116.2","17.5","1.3","88.8","17.3","91.8","1.26","46.2","-4.6","-1.5",0,"5695","11.8"
"6i",,,"88.0","102.7","83.6","11.4","-2.2","20.9","-9.1","82.9","1.01","22.9","-1.1","-4.2",0,"8739","-10.4"
"6i",,,"157.1","168.5","115.9","13.6","-3.1","68.6","5.1","86.2","1.34","41.3","-6.1","-4.9",0,"7186","12.6"
"6i",,,"166.4","178.6","118.6","13.2","-3.3","73.0","-4.1","89.2","1.33","41.6","-6.6","-3.1",0,"6176","5.8"
"6i",,,"168.9","180.5","118.1","15.8","-3.1","85.1","-6.2","86.2","1.37","44.7","-5.4","-2.8",0,"5651","4.0"
