"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Spin Rate","Spin Axis"
"7i",,,"130.7","140.5","96.9","19.0","-4.8","61.1","-1.8","80.1","1.21","40.2","6094","12.9"
"7i",,,"158.5","169.8","109.7","19.7","-5.0","87.6","-12.3","81.2","1.35","45.7","5188","3.3"
"7i",,,"155.6","163.5","111.8","20.8","-5.5","97.2","-7.4","86.2","1.30","49.0","6896","7.8"
"7i",,,"146.5","155.9","105.9","18.5","-3.5","74.5","4.0","86.8","1.22","43.4","6404","13.9"
"7i",,,"167.1","178.0","114.4","22.4","-3.5","110.2","-6.9","86.2","1.33","50.3","4979","4.4"
"7i",,,"141.2","150.0","102.6","21.9","-4.1","83.5","0.4","82.9","1.24","46.7","6493","12.1"
"7i",,,"51.0","85.3","96.9","3.8","8.6","3.2","12.4","85.7","1.13","5.7","7867","53.2"
"7i",,,"85.0","101.3","90.5","9.9","8.3","15.7","24.6","82.7","1.09","17.7","6426","42.8"
"7i",,,"61.8","77.5","80.6","7.0","-6.0","7.8","-12.0","83.5","0.97","12.1","9772","-23.9"
"7i",,,"62.4","77.6","78.7","7.8","-7.6","8.7","-13.6","82.9","0.95","13.1","9118","-22.5"
"7i",,,"6.5","103.5","100.3","0.5","-5.3","0.0","-0.7","81.2","1.23","0.5","2015","46.3"
"7i",,,"136.2","148.1","101.3","15.4","-3.7","52.6","2.7","81.8","1.24","35.8","5676","15.3"
"7i",,,"49.0","77.0","81.8","5.7","0.4","4.6","-5.1","83.5","0.98","8.5","10273","-41.2"
"7i",,,"140.6","149.0","102.3","24.3","0.8","92.3","15.2","80.1","1.28","49.2","6184","14.7"
"7i",,,"139.4","149.1","100.9","23.1","-0.8","84.0","12.4","80.1","1.26","47.0","5750","16.3"
"7i",,,"148.9","159.0","105.7","21.1","-3.4","85.6","1.2","82.9","1.28","46.3","5717","11.0"
"7i",,,"126.1","134.0","95.1","22.5","2.1","70.0","19.3","81.8","1.16","44.4","6805","20.0"
"7i",,,"164.9","176.5","112.4","20.4","-7.0","96.4","-20.0","85.7","1.31","47.3","4929","2.2"
"7i",,,"172.8","185.4","115.9","20.2","-7.3","101.7","-34.1","85.0","1.36","47.9","4616","-6.7"
"7i",,,"153.1","164.0","108.7","17.3","-1.6","73.7","7.2","85.1","1.28","42.3","5819","12.0"
"7i",,,"74.9","109.2","98.3","5.4","1.8","7.3","11.1","86.2","1.14","9.5","5367","43.6"
"7i",,,"152.7","162.1","108.9","19.5","-0.6","84.9","9.6","84.0","1.30","46.0","6309","11.4"
"7i",,,"157.8","168.8","109.2","23.3","-7.3","103.0","-14.0","84.6","1.29","49.6","4915","7.0"
"7i",,,"94.9","112.2","93.5","9.7","0.6","17.9","13.7","84.0","1.11","18.4","5442","35.6"
"7i",,,"90.0","107.9","105.6","6.7","2.9","12.0","20.2","86.2","1.23","13.6","8128","49.5"
"7i",,,"160.5","172.7","108.7","22.0","-6.5","96.2","-18.7","79.6","1.37","47.4","4458","1.7"
"7i",,,"132.9","141.7","99.9","19.2","-0.1","64.7","16.8","85.1","1.17","41.7","6925","20.9"
"7i",,,"156.5","168.7","107.3","19.4","-3.8","80.9","-4.8","84.0","1.28","43.6","4703","6.9"
"7i",,,"110.5","122.0","91.9","15.7","4.1","36.6","24.8","81.8","1.12","30.4","5791","32.7"
"7i",,,"148.6","158.3","105.6","20.1","-4.5","82.2","-7.7","82.9","1.27","45.4","5893","5.7"
"7i",,,"169.7","182.4","116.9","18.3","-9.7","87.2","-61.0","86.8","1.35","45.0","4697","-23.0"
"7i",,,"162.5","176.8","112.2","13.6","-5.4","61.2","-19.1","87.4","1.28","36.3","4672","-0.9"
"7i",,,"179.0","189.9","122.2","22.4","-4.9","127.7","-21.5","88.5","1.38","52.8","5051","-1.9"
"7i",,,"138.9","160.7","107.1","9.0","-7.5","29.6","-15.8","89.8","1.19","22.3","3855","6.1"
"7i",,,"157.4","166.4","111.6","22.0","-3.1","101.8","4.5","88.5","1.26","49.7","6018","12.0"
"7i",,,"165.0","175.0","115.2","23.4","-6.5","117.2","-19.0","88.6","1.30","52.0","5426","1.6"
"7i",,,"137.9","151.9","105.3","12.0","-4.8","41.8","3.0","84.0","1.25","30.2","5289","19.2"
"7i",,,"123.4","143.6","101.5","9.3","-5.7","24.6","-5.2","85.7","1.18","20.2","3809","14.8"
"7i",,,"155.6","165.6","109.2","20.7","-6.5","91.9","-14.5","85.8","1.27","47.3","5665","4.6"
"7i",,,"160.3","169.4","112.7","21.2","-5.0","101.4","-12.4","87.9","1.28","49.3","5969","3.2"
"7i",,,"151.1","159.6","108.3","22.3","-4.8","97.4","-5.0","86.8","1.25","49.3","6430","8.3"
"7i",,,"161.3","172.6","110.1","24.8","-2.3","112.8","-9.0","89.0","1.24","51.2","4487","0.2"
"7i",,,"171.2","184.4","112.9","21.0","-7.1","98.6","-29.7","87.9","1.28","46.5","4056","-4.2"
"7i",,,"101.5","112.6","93.1","14.3","12.1","29.7","39.7","89.6","1.04","27.5","8138","43.1"
"7i",,,"162.3","172.4","113.4","19.1","-9.2","92.8","-31.1","85.9","1.32","47.1","5842","-1.8"
"7i",,,"176.5","187.0","121.2","19.5","-5.4","108.7","-33.7","89.3","1.36","49.6","5428","-9.2"
"7i",,,"186.4","198.3","125.1","19.5","-6.6","116.3","-40.7","91.2","1.37","50.2","4917","-9.8"
"7i",,,"162.4","171.5","114.2","21.2","1.1","104.0","11.7","90.1","1.27","49.7","5994","8.1"
"7i",,,"180.9","194.1","119.7","18.5","-6.0","97.9","-39.8","88.5","1.35","46.2","4394","-12.0"
"7i",,,"179.1","191.3","120.3","20.0","-4.4","109.9","-26.1","87.9","1.37","49.3","4879","-6.0"
"7i",,,"94.1","107.2","98.1","11.0","14.9","20.5","41.8","89.0","1.10","21.2","9323","50.9"
"7i",,,"173.3","185.5","116.9","20.6","-1.9","106.6","-5.5","89.6","1.30","48.9","4873","2.1"
"7i",,,"169.1","182.3","112.1","20.0","-3.6","92.6","-17.9","89.6","1.25","45.3","4201","-3.3"
"7i",,,"131.5","138.5","102.0","22.1","12.3","72.6","56.0","90.7","1.13","45.2","7694","35.7"
"7i",,,"176.5","190.2","115.9","18.5","-5.7","91.8","-28.0","89.0","1.30","44.4","4150","-5.3"
"7i",,,"109.7","138.1","97.6","14.5","-7.5","25.5","-27.9","89.9","1.09","19.8","1598","-45.8"
"7i",,,"96.2","109.1","98.9","10.6","14.5","20.4","41.8","88.5","1.12","20.8","8543","49.3"
"7i",,,"175.8","187.7","118.2","18.9","-7.7","100.4","-25.2","88.3","1.34","47.4","4910","0.9"
"7i",,,"166.2","176.6","115.3","18.1","-4.7","91.4","-11.0","89.6","1.29","46.3","5785","3.9"
"7i",,,"169.3","184.8","110.2","18.3","-6.0","74.8","-28.4","89.0","1.24","38.8","3262","-7.1"
"7i",,,"104.6","116.2","98.5","13.5","11.7","29.5","42.5","87.9","1.12","27.1","9500","47.5"
"7i",,,"127.6","140.4","103.0","12.1","-0.6","37.7","18.0","84.0","1.23","29.4","6383","27.8"
"7i",,,"160.7","169.7","113.8","20.9","-1.3","101.8","5.2","86.2","1.32","49.5","6308","8.5"
"7i",,,"177.9","189.7","121.2","18.4","-6.5","103.2","-32.7","89.5","1.36","48.2","5312","-6.3"
"7i",,,"168.5","180.5","114.5","21.3","0.4","103.7","11.4","89.6","1.28","48.7","4840","9.3"
"7i",,,"169.7","182.7","113.8","18.4","-5.2","88.4","-18.4","88.9","1.28","44.5","4614","-0.2"
"7i",,,"158.1","167.6","111.5","21.2","1.0","97.1","15.6","86.8","1.28","48.5","5830","12.0"
"7i",,,"164.6","176.0","113.0","19.8","-5.8","94.4","-18.8","88.3","1.28","46.9","5152","0.5"
"7i",,,"108.3","121.2","105.1","11.0","9.2","25.7","40.2","89.6","1.17","23.8","9102","48.2"
"7i",,,"171.8","182.3","118.0","19.9","-4.5","105.4","-10.7","89.6","1.32","49.1","5456","3.8"
"7i",,,"162.1","170.6","115.9","25.0","-1.1","126.0","8.8","87.9","1.32","54.1","5930","10.3"
"7i",,,"101.7","115.8","95.8","11.3","10.5","23.4","35.6","89.0","1.08","22.4","6279","41.1"
