"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type","Spin Rate","Spin Axis"
"7i",,,"121.2","136.3","88.3","20.0","-1.9","49.6","-6.9","80.7","1.09","34.5","-2.3","0.4",0,"3332","-1.4"
"7i",,,"134.7","150.8","96.2","16.9","1.3","48.0","4.1","85.1","1.13","31.9","-3.7","1.6",0,"3314","4.5"
"7i",,,"170.9","184.0","116.5","16.7","-3.8","83.6","-28.5","84.0","1.39","43.5","-2.7","5.3",0,"4994","-10.5"
"7i",,,"117.1","132.1","87.5","18.6","5.2","43.8","9.9","81.8","1.07","32.2","-2.0","5.0",0,"3440","2.2"
"7i",,,"152.0","168.4","112.4","10.5","3.3","42.3","25.4","85.1","1.32","28.9","-3.2","1.2",0,"4661","19.2"
"7i",,,"159.8","175.5","107.8","15.9","0.5","61.7","1.2","87.4","1.23","35.5","-4.3","2.4",0,"3697","2.2"
"7i",,,"149.0","163.2","106.9","13.3","0.3","52.0","5.2","84.0","1.27","33.8","-4.9","2.7",0,"4921","6.8"
"7i",,,"183.1","196.2","120.4","20.2","5.5","111.4","17.8","87.9","1.37","48.8","-2.7","5.7",0,"4396","2.2"
"7i",,,"187.2","199.0","124.6","18.8","1.6","112.4","-6.8","88.5","1.41","49.1","-3.1","3.8",0,"4914","-5.4"
"7i",,,"187.3","200.9","122.4","17.7","-1.4","99.9","-19.8","89.6","1.37","45.9","-2.7","1.3",0,"4382","-7.6"
"7i",,,"177.7","192.7","116.4","16.3","-0.1","80.3","-3.2","86.2","1.35","40.8","-4.9","2.0",0,"4061","0.0"
"7i",,,"179.3","192.5","119.6","17.3","0.9","94.1","3.9","86.2","1.39","45.4","-4.5","1.5",0,"4824","2.7"
"7i",,,"37.9","114.4","110.2","1.5","-7.0","0.8","-6.7","85.7","1.29","1.9","-3.9","3.3",0,"2755","-36.9"
"7i",,,"177.5","188.6","120.4","19.2","2.7","105.9","9.1","87.9","1.37","48.6","-3.9","3.1",0,"5188","2.5"
"7i",,,"178.0","192.0","119.5","16.6","-3.7","81.0","-45.2","84.6","1.41","41.6","-2.4","3.5",0,"4167","-22.9"
"7i",,,"175.8","188.7","117.0","20.2","6.2","104.2","19.8","87.4","1.34","48.0","-3.0","6.7",0,"4545","2.7"
"7i",,,"175.9","189.8","116.2","17.3","1.1","86.6","0.5","85.7","1.36","43.2","-4.8","1.8",0,"4367","0.0"
"7i",,,"182.1","195.0","121.7","17.3","0.2","97.4","-12.4","88.5","1.38","46.1","-3.5","3.8",0,"4935","-6.4"
"7i",,,"63.8","82.3","68.2","13.9","-3.1","15.1","-5.0","86.2","0.79","20.4","1.8","1.6",0,"5072","-2.2"
"7i",,,"29.2","40.9","43.7","18.3","-4.9","8.0","-2.9","61.3","0.71","21.4","7.1","7.6",0,"7076","1.4"
"7i",,,"171.7","185.0","116.7","16.6","-0.5","82.2","-23.5","82.9","1.41","42.9","-3.5","6.1",0,"4843","-13.9"
"7i",,,"157.0","169.9","109.1","17.1","2.3","73.5","-3.3","83.5","1.31","41.5","-4.3","5.9",0,"5100","-5.9"
"7i",,,"77.0","98.5","97.1","6.7","15.8","9.2","31.2","84.6","1.15","11.6","-5.5","3.7",0,"5807","48.5"
"7i",,,"173.7","187.4","119.3","14.6","0.9","76.8","-16.5","86.2","1.38","41.3","-5.1","5.1",0,"5177","-11.5"
"7i",,,"174.7","187.1","119.5","15.8","2.0","86.7","5.9","86.8","1.38","44.2","-5.6","3.3",0,"5463","1.9"
"7i",,,"178.8","191.3","121.2","17.0","1.5","94.7","-10.8","87.4","1.39","45.9","-2.6","5.7",0,"5202","-8.0"
"7i",,,"166.3","180.9","114.2","13.3","2.2","62.6","-0.1","85.7","1.33","36.5","-2.1","6.4",0,"4695","-3.0"
"7i",,,"158.0","168.1","110.4","22.5","2.2","101.6","14.1","85.7","1.29","49.4","-1.3","-1.2",0,"5348","8.3"
"7i",,,"130.3","142.7","104.7","14.0","10.9","43.5","49.4","87.9","1.19","32.5","-5.3","-0.5",0,"6167","35.3"
"7i",,,"165.2","180.3","114.8","15.9","-5.1","67.3","-48.7","84.6","1.36","38.3","-2.8","5.5",0,"4177","-27.5"
"7i",,,"169.3","179.8","117.1","20.8","6.4","107.8","25.0","87.4","1.34","49.9","-4.1","3.2",0,"5506","6.1"
"7i",,,"168.0","180.1","114.8","17.9","-0.9","87.9","-11.7","87.4","1.31","44.9","-3.6","3.6",0,"5132","-4.5"
"7i",,,"165.9","179.6","113.3","15.7","-2.9","74.2","-15.2","86.2","1.31","40.8","-4.5","1.8",0,"4903","-3.2"
"7i",,,"175.5","188.6","116.2","18.5","2.1","92.9","-4.4","87.4","1.33","45.0","-2.7","4.3",0,"4427","-5.4"
"7i",,,"160.6","174.7","107.0","18.0","4.9","70.6","9.5","84.0","1.27","38.7","-2.8","4.7",0,"3674","-1.4"
"7i",,,"142.8","164.7","109.1","9.7","-6.3","30.1","-27.3","87.9","1.24","21.4","-1.8","1.9",0,"3202","-12.7"
"7i",,,"136.4","151.9","101.7","16.1","-4.3","46.9","-36.4","89.2","1.14","31.6","-1.8","5.3",0,"3734","-32.3"
"7i",,,"150.5","167.0","110.9","11.1","-7.4","42.1","-41.5","83.5","1.33","28.8","-2.3","3.5",0,"4298","-20.6"
"7i",,,"180.1","194.1","119.6","14.7","-0.7","79.0","-7.1","85.9","1.39","40.9","-7.6","0.3",0,"4582","-1.3"
"7i",,,"123.6","140.4","94.3","16.7","-4.7","40.4","-28.5","84.6","1.11","29.2","-2.6","2.5",0,"3192","-28.1"
"7i",,,"181.7","194.5","120.3","18.5","-4.0","101.5","-24.6","85.7","1.40","46.9","-5.0","-2.4",0,"4604","-5.8"
"7i",,,"163.3","175.3","112.7","17.7","1.0","83.3","6.0","87.9","1.28","44.1","-4.7","1.5",0,"5320","4.5"
"7i",,,"85.6","103.0","82.0","15.8","-8.9","23.2","-28.0","86.2","0.95","23.5","-1.0","2.2",0,"3661","-47.3"
"7i",,,"140.5","160.6","102.0","15.3","-5.5","41.8","-28.8","86.8","1.17","27.2","-0.9","0.5",0,"2622","-20.1"
"7i",,,"151.7","167.1","106.0","16.2","-7.8","56.5","-43.1","84.6","1.25","34.4","-4.1","-1.1",0,"3607","-21.7"
"7i",,,"185.2","198.5","123.9","18.0","-6.3","98.9","-54.8","87.9","1.41","46.5","-1.8","2.8",0,"4484","-20.7"
"7i",,,"74.5","119.4","108.8","2.8","-8.1","3.7","-14.2","89.0","1.22","4.7","-4.5","-0.0",0,"2746","-15.3"
"7i",,,"185.6","196.5","125.7","19.2","-0.1","117.5","-3.6","89.0","1.41","50.4","-4.9","0.1",0,"5300","-0.2"
"7i",,,"186.8","200.4","123.3","16.7","-0.3","97.2","-9.2","87.9","1.40","45.5","-5.0","0.6",0,"4745","-3.2"
"7i",,,"192.5","206.8","126.8","15.1","-5.4","92.2","-38.3","90.1","1.41","44.0","-5.6","0.2",0,"4606","-10.4"
"7i",,,"180.0","193.7","120.1","16.5","1.4","89.0","-11.3","88.5","1.36","43.9","-4.7","3.2",0,"4747","-8.6"
"7i",,,"146.9","159.7","109.8","12.9","6.5","52.3","35.5","90.7","1.21","35.1","-7.4","1.7",0,"6120","20.6"
"7i",,,"184.8","198.4","124.7","16.1","-7.3","91.0","-55.6","87.4","1.43","44.8","-4.4","1.3",0,"4754","-19.2"
"7i",,,"180.6","191.9","122.9","18.2","0.4","105.9","7.0","90.1","1.36","48.5","-5.5","0.9",0,"5408","5.5"
"7i",,,"182.0","195.2","119.5","20.6","1.3","111.3","3.0","90.1","1.33","48.7","-2.6","1.7",0,"4323","1.3"
"7i",,,"136.6","166.4","109.9","8.0","-1.8","23.5","-1.7","90.1","1.22","17.7","-3.3","1.0",0,"3144","7.7"
"7i",,,"189.8","203.0","126.7","16.5","-7.7","102.0","-44.0","90.1","1.41","47.0","-5.3","-0.6",0,"4969","-9.2"
"7i",,,"187.2","199.9","124.9","17.2","1.8","104.3","2.5","92.9","1.34","47.4","-5.6","1.4",0,"5051","-0.1"
"7i",,,"189.8","202.8","128.1","15.9","-2.1","99.8","-31.9","90.1","1.42","46.6","-5.5","2.8",0,"5200","-12.9"
"7i",,,"138.1","151.0","97.5","19.1","4.0","62.7","5.6","87.9","1.11","39.0","-2.0","5.6",0,"4401","-2.1"
"7i",,,"193.8","205.6","129.1","19.2","-1.5","123.2","-24.9","90.1","1.43","50.9","-2.1","3.6",0,"4915","-9.2"
"7i",,,"165.6","181.1","113.5","14.0","-1.9","60.8","-26.2","86.2","1.32","35.4","-3.4","3.6",0,"4126","-15.4"
"7i",,,"176.2","187.1","120.0","19.3","0.3","106.3","-5.4","86.2","1.39","48.8","-3.3","1.8",0,"5312","-2.1"
"7i",,,"188.8","202.0","127.0","16.2","-3.3","99.3","-35.7","88.5","1.44","46.5","-3.8","1.5",0,"5070","-13.2"
"7i",,,"169.1","182.4","115.3","14.6","-1.4","71.3","-13.4","88.5","1.30","39.6","-4.1","3.1",0,"4882","-4.9"
"7i",,,"188.6","200.2","126.3","19.0","1.1","117.3","-0.5","92.4","1.37","50.1","-4.3","3.2",0,"5064","-0.6"
"7i",,,"155.8","172.4","115.8","10.6","6.2","42.0","41.2","91.2","1.27","28.2","-4.7","0.2",0,"4242","27.4"
"7i",,,"183.2","197.2","120.8","16.8","-5.3","92.8","-20.6","91.2","1.32","44.5","-6.1","-3.6",0,"4572","-0.6"
"7i",,,"193.0","205.7","128.5","17.4","-3.9","111.0","-30.8","94.0","1.37","48.6","-3.8","1.7",0,"4995","-8.3"
"7i",,,"110.4","123.0","100.2","12.5","23.1","30.2","63.4","92.9","1.08","26.9","-4.0","5.9",0,"7295","43.3"
"7i",,,"184.4","195.9","124.2","20.2","-0.4","119.6","-0.9","92.4","1.34","50.8","-4.6","0.1",0,"5054","2.2"
"7i",,,"154.1","165.6","109.4","17.7","2.9","75.3","23.8","90.7","1.21","42.8","-4.2","0.1",0,"5629","16.1"
"7i",,,"141.2","160.0","99.2","17.3","0.9","47.9","9.0","91.2","1.09","30.1","-2.8","-0.0",0,"2566","13.2"
"7i",,,"132.2","145.7","105.9","12.4","10.4","39.9","46.5","90.7","1.17","30.2","-6.7","-0.5",0,"5829","31.9"
"7i",,,"188.5","200.9","125.2","19.1","0.5","114.6","-14.5","88.5","1.42","49.4","-4.8","3.9",0,"4808","-7.8"
"7i",,,"176.0","188.9","117.2","18.3","2.0","94.0","10.4","88.5","1.33","45.5","-3.6","0.9",0,"4644","4.7"
"7i",,,"178.7","187.7","126.6","19.5","-1.2","122.1","-7.3","95.0","1.33","52.3","-4.5","1.4",0,"6825","-0.4"
"7i",,,"59.1","78.9","63.3","16.8","-13.4","15.9","-13.3","87.9","0.72","22.0","0.6","1.8",0,"2942","9.4"
"7i",,,"170.1","184.3","112.1","17.5","-0.8","78.3","-9.8","87.4","1.28","40.6","-3.4","1.8",0,"3921","-3.5"
"7i",,,"154.4","173.3","106.5","15.7","-0.9","51.5","-18.6","90.6","1.18","30.8","-2.1","5.0",0,"2926","-16.5"
"7i",,,"183.6","196.7","120.0","19.3","1.7","105.2","-2.0","91.8","1.31","47.2","-2.7","2.8",0,"4321","-2.7"
"7i",,,"166.6","180.7","112.0","17.3","-1.7","74.5","-27.3","90.7","1.23","40.0","-3.4","4.2",0,"4016","-16.4"
"7i",,,"168.2","183.5","111.4","16.4","-1.5","70.6","-8.9","86.8","1.28","38.1","-3.7","0.2",0,"3788","-1.3"
"7i",,,"100.4","113.3","94.7","11.8","19.3","24.2","49.5","86.8","1.09","23.4","-3.6","2.8",0,"6540","41.4"
"7i",,,"85.5","114.5","109.2","4.9","5.2","8.8","21.5","86.2","1.27","10.8","-4.5","-0.1",0,"8975","48.4"
"7i",,,"69.9","82.5","73.9","16.5","15.4","19.9","28.0","84.0","0.88","24.4","-3.0","0.1",0,"6655","48.9"
"7i",,,"171.4","186.7","114.3","15.6","-1.7","71.7","-21.5","82.9","1.38","38.7","-3.7","1.8",0,"4063","-10.7"
"7i",,,"185.1","199.5","124.3","15.7","-5.2","86.6","-50.5","87.9","1.41","43.3","-4.2","3.8",0,"4533","-20.6"
"7i",,,"165.9","180.3","114.7","14.6","-3.4","65.1","-36.8","89.6","1.28","37.5","-2.9","6.3",0,"4440","-20.1"
"7i",,,"184.2","196.7","121.6","19.0","-2.9","106.4","-20.6","90.1","1.35","47.8","-4.0","0.1",0,"4585","-5.1"
"7i",,,"111.9","139.4","90.7","16.1","-1.0","29.7","-8.9","84.0","1.08","22.6","0.0","2.9",0,"1583","-16.0"
"7i",,,"182.1","194.6","121.7","18.4","-3.8","103.9","-23.2","87.4","1.39","47.7","-4.3","-1.0",0,"4894","-5.0"
"7i",,,"183.4","197.0","121.8","16.4","-2.0","92.4","-18.9","86.2","1.41","44.6","-4.9","1.3",0,"4757","-6.1"
"7i",,,"174.7","186.5","119.9","15.0","3.4","83.4","11.2","87.4","1.37","43.4","-7.1","3.2",0,"5571","2.5"
"7i",,,"181.7","194.8","122.1","17.1","-2.7","95.9","-28.8","88.5","1.38","45.9","-5.1","1.9",0,"4966","-11.1"
"7i",,,"166.3","180.2","115.0","13.7","-0.2","66.2","-11.9","86.8","1.32","38.1","-5.8","4.7",0,"5019","-6.5"
"7i",,,"192.1","205.6","126.5","16.9","1.5","104.5","-7.0","89.6","1.41","46.9","-4.1","4.1",0,"4798","-5.0"
"7i",,,"174.0","188.2","115.7","16.7","-0.3","82.7","0.0","87.9","1.32","42.3","-4.9","0.3",0,"4470","2.9"
"7i",,,"154.0","167.5","109.8","13.9","-2.0","58.8","2.4","89.0","1.23","36.5","-5.6","-0.0",0,"5284","9.3"
"7i",,,"149.2","166.6","102.9","16.2","-0.0","53.0","3.8","88.5","1.16","32.4","-3.2","0.5",0,"3183","7.5"
